"

University of Santo Tomas, EXPLAIN!

Sobrang lala ng management nyo ng opening ceremony ng UAAP S88!

UNANG UNA. 3:30 nakapila na kami sa gate. Ang announcement, 6:30 pm magsasara ang gates pero 5:30 pa lang isinara nyo na kaya daan-daang estudyante AT ATHLETES ang nastranded sa España. Sinimulan nyo ang program na maraming kabataan ang nasa labas. 

PANGALAWA. 6:30 na. Sumisigaw na kami na buksan ang gate kasi nagkakastampede na sa Gate 2. Pati mga atleta hindi nyo pinapasok kahit nagmamakaawa na. MGA SECURITY GUARDS NYO, PINAGTATAWANAN PA KAMI. 

PANGATLO. 7pm na. NAGSSTAMPEDE NA ANG TAO SA GATE 1 KASI DOON KAMI ITINURO. Inabutan na kami ng ulan pero yung mga security guards nyo, galit pa. Yung mga organizers nyo, nanonood lang. 

Yung kasama ko, hinimatay— nagcollapse na. Aba, pati companion ayaw nyong pasamahin kung hindi pa pipilitin ng mga tao sa likod? 

UST, THIS IS NOT SOMETHING YOU CAN SIMPLY PUT OFF AS AN OVERFLOW NG CROWD. 

YOU PRINTED LOTS OF TICKETS PERO ANG SAGOT NG MGA GUARDS, PUNO NA PO? Hindi nyo naestimate ang crowd na pupunta sa inyo?

INUULAN NA KAMI SA TABI NG ESPAÑA, YUNG ILAN AY NASA HIGHWAY NA PERO SINARA NYO YUNG GATE DAHIL KASALANAN DAW NG MGA NASA LABAS? Lahat kami may tickets, at lahat kami matiyagang pumila UNTIL NAGDECIDE KAYO NA ISARA ANG GATES UNANNOUNCED.

Inagahan nyo ang cut-off ng entrance; HINDI kayo nagannounce kung magpapapasok pa ba kayo o hindi para makauwi na ang iba; AT TINATAWANAN PA NG IBA NYONG GUARD habang nakikiusap at nababasa sa ulan ang mga estudyante.

UNACCEPTABLE.

#UAAPS88

",_sent_compound,_sent_pos,_sent_neu,_sent_neg,_sent_category
"

hello saang bldg po ang pe dept na manila campus thnxx

",0.9999158797509153,0.9999490976333618,1.768448419170454e-05,3.321788244647905e-05,Strong Positive
"

hello po! kelan usually nirerelease tix for upcoming games? and nagbebenta rin po ba PE dept ng tix now??

",0.9992596125011914,0.9993453575692234,0.0005688927459323393,8.574968484426026e-05,Strong Positive
"

To that 3rd year guy on CE program I chatted on chatklook... I miss you na argh!!! I hope you read this and let's continue our sweet talks, Its me toki 

",4.100839578313753e-05,5.499454282466685e-05,0.9999310193069463,1.3986150229072934e-05,Neutral
"

hello po kay alyanna, ang ganda at ang cute mo

",0.000523817057000997,0.000528454231809857,0.9994669085687,4.6371994901715935e-06,Neutral
"

saan po makakabili uaap ticket for sunday?

",0.999933826367851,0.9999549388885498,2.394859075138811e-05,2.1112520698807202e-05,Strong Positive
"

scaa badminton nasaan napo yung gc at kailan training

",0.9999367552645708,0.99995611996431,2.4504319029033176e-05,1.9375716661018094e-05,Strong Positive
"

dear students of UE, maganda ba mag shs and college dyan? tas yung course is tourism.

",0.013488083786796778,0.01352352316285104,0.9864410369295754,3.543990757358159e-05,Neutral
"

Mahal na nga tf wala rin bidet and tissue sa cr hindi pa nag announce na may free ticket hahaha mga gahaman

",-0.19667223864234984,0.0005050224606000973,0.8023177207866257,0.19717725675277425,Negative
"

Totoo pala na mababa tingin satin ng other schools. I remember before niyaya ko yung friend ko na taga PUP na manood ng cheer dance competition kasi may extra tix ako. Ang sabi niya sakin “saan ako uupo, sa side ng UE?” tapos tumawa siya in a medyo nakakaoffend way. I mean gets naman na di kami “big 4” or whatever pero ang sad lang.

",0.06219619035255164,0.06306188553571701,0.9360724192811176,0.0008656951831653714,Positive
"

Hoping na ma update yung official recording ng UE Hymn. Like sana mas clear.

",0.00038131488145154435,0.0003894408335574147,0.9996024331901389,8.125976303761608e-06,Neutral
"

OA sa pagka overpriced ng mga ticket naman, nuyan vip seat

",-0.9999560574269708,1.3186576325097121e-05,1.756942037900444e-05,0.9999692440032959,Strong Negative
"

Bat wala si Joshua Tumamao sa MMUE

",0.9397948402911425,0.969877207623986,4.039072371436456e-05,0.03008240165229964,Strong Positive
"

to #UEFW25109, 

alam mo, wag ka na umasa makukuha mo soft copies ng grad pic mo from LYRIC STUDIO. graduating na ko ng college d ko pa nakukuha picture ko nung senior high. LETCJE

",0.9996050783665851,0.9996356964111328,0.00033368554431945086,3.0618044547736645e-05,Strong Positive
"

DEAR UESC, 

sana po sa powhiri isa si Earl Agustin sa guest performer 

",0.9999243001184368,0.9999448706942627,3.450411707304626e-05,2.062518866424959e-05,Strong Positive
"

Hello po, pano po mag try out sa vball team?

",0.9942700415558647,0.9946437448546892,0.004982489313489076,0.00037376583182171564,Strong Positive
"

Nadaan ako sa FW ng San Beda, akala ko UEFW, yun pala sila na kumuha nung dating color scheme ng UE, ayun lang, matutulog na ako.

",0.9998752999817953,0.9999294281005859,1.644378062337637e-05,5.412811879068613e-05,Strong Positive
"

di kaya kayo karmahin nyan

",-0.9943102737888694,0.002823934890329838,4.185643047094345e-05,0.9971342086791992,Strong Negative
"

This is for the freshies who feel frustrated about getting a ticket. Big events like opening ceremony ay unahan talaga especially sa UST gaganapin. Honestly, swerte pa nga tayo kasi binibigay sa atin for free, sa ibang univs may bayad pa.

1. Sa mga nag tatanong kung kailan nagiging available yung tickets, tickets usually become available 1–3 days before the game/event. So once UE announces tickets for a game, that’s also when the UAAP opening tickets are out.

2. Not all tickets are with the PE Department. A lot of them are with PE profs and they also give them out for free. Some students even got multiple tickets from their professors. (5 tickets per person pa nga eh) 

3. Keep in mind that UE has other campuses, not just Manila. So when they say 1,000 tickets, hati yan between UE Manila and UE Caloocan, plus yung mga tickets na hawak ng PE profs. So konti na lang talaga natitira. 

4. Scalpers are EVERYWHERE. Believe it or not, they will always find ways to sell tickets that were meant to be free, even to people outside UAAP schools. Para lang sa pera.

Additional info: You can’t enter without both a ticket and a school ID na proof na from UAAP school ka. So if you buy from scalpers and you’re not from a UAAP school, the ticket is basically useless. Sayang lang din. Napunta na sana sa ibang kapwa student.

(Correct me if Iʼm wrong, pa approve admin. Thanks)

",-0.0005257572302070912,3.775608274736442e-05,0.9993987306042982,0.0005635133129544556,Neutral
"

Libre na nga yung ticket may mga scalper parin umay

",-0.0029066553179291077,1.490569346136008e-05,0.9970635334226959,0.0029215608838426585,Neutral
"

Sa crush ko dyan, kung magmamahal ka tapos hindi ako yan, ay wag nalang itigil mo na yan

",-0.9999242053781927,3.3117696148110554e-05,9.559229511069134e-06,0.9999573230743408,Strong Negative
"

di kaya karmahin mga nagbebenta ng uaap opening tix dyan? oa niyo 1k pa nga

",-0.9994624904356897,0.00026374543085694313,1.001870259642601e-05,0.9997262358665466,Strong Negative
"

I don’t usually write stuff like this, but I’ve been thinking about it for a while. Every time I check this page, I notice how many of the posts about being gay are written as jokes. Most of the time they’re sexual and every time I see it, I just feel sad. Maybe for a lot of you, it’s nothing. It’s just something to laugh at. But for someone like me (i’m bi) it doesn’t just disappear after reading it. It stays with me. It makes me think about how people in this school might look at me, or at anyone who’s not straight, and automatically reduce us to those same jokes. And it hurts in a way that’s hard to explain. Because the truth is, being gay isn’t about sex. It’s not about being dirty, or weird, or any of the things people here like to laugh about. It’s about love. It’s about finding comfort in yourself when the world makes it hard. It’s about liking someone in the same simple, human way that straight people do, but always with that extra layer of fear, fear that people will twist it into something disgusting.
I read the things people post and I just keep wondering if anyone thinks about what it feels like for us. To constantly see your identity turned into something shameful. To know that in the eyes of your classmates, maybe even your friends, you’ll always be some kind of punchline. It makes me feel small, and it makes me feel like no matter what I do, how hard I study or how kind I try to be, people will only ever see the joke, never the person.
I’m not writing this to call out anyone, or to pick a fight. I’m not even angry at all. I’m just tired. I’m tired of watching love get turned into something ugly when I know it isn’t. Maybe this won’t change anything. But maybe someone will read this and think twice. And for me, that would already mean a lot. Anyways, that's all for now. God bless you all

",-0.9978190880719922,3.723087774720806e-05,0.002106474660794345,0.9978562944614584,Strong Negative
"

Open parin po ba ng weekend yung pay parking sa tapat ng UE manila annex? Salamat sa sasagot

",0.3460028850240633,0.34639869342071195,0.653205480419144,0.0003958261601441381,Positive
"

hi ue peeps, 

what grade should you not have to qualify for honors? currently 95-97 mga grades ko but mukhang mag 83 ako sa isang sub huhuhu T-T

i remember sa shs orientation that a grade lower than 80 ata can't be recognized for honors, correct me if i'm wrong. PLEASE HELPPPP

",0.402004212141037,0.7008617958704078,0.0002806113562281075,0.29885759277336416,Positive
"

Ano naman kung hindi mo ako gusto? Hinihingi ko ba opinyon mo? Hala umuulan ba? Ah mga luha ko lang pala

",-0.9999575179508611,1.1487633386076952e-05,1.9547663324658958e-05,0.9999689647032892,Strong Negative
"

As I get older, I have realized that many people can be entertaining, popular, and smart but still lack basic decency.

",0.00021073762081869063,0.00021675651078112423,0.9997772245992564,6.0188899624336045e-06,Neutral
"

ah sige pre antok na pala ko

",0.9998516352679871,0.9998966021675479,5.8387556432456726e-05,4.501027601964764e-05,Strong Positive
"

open po ba library sa manila campus kahit saturday? 

",0.9999312820509658,0.9999567270278931,1.7827995179686695e-05,2.54449769272469e-05,Strong Positive
"

hello i need help po on how do u guys use your microsoft account after activating kasi ganto lumalabas sa akin once i try to log in

",3.7397834603325464e-05,5.579369231938632e-05,0.9999258104484171,1.839585926345424e-05,Neutral
"

baka may extrang tickets kayo para bukas? vc ko lang crush ko pag pinatugtog ni Earl Agustin yung ""Dito Sa'kin"" 

",-0.9995019237103406,0.0001561840472277254,0.00018570819520391524,0.9996581077575684,Strong Negative
"

Grabe ka naman makangiti na para bang nahuhulog ka na sakin

",-6.858569031464867e-05,3.4679225132785235e-05,0.9998620558607225,0.00010326491414472505,Neutral
"

asan na ung hyunjin ng buhay q 

",-0.9999007866390457,4.425787532048869e-05,1.0768797580594122e-05,0.9999449733270989,Strong Negative
"

shout out nga po pala sa UE, wala man lang announcement about sa 1000 free tickets for UAAP opening, mga kupal kayo! gatekeepers! halos puno ng tanong yung fb group ng freshmen about how and where to get those tickets pero wala. mga gago nga. and by early lunch time lang ata may nagsabi kase nakakuha na daw sila sa post so by 12pm ubos na juskooo. 
scalpers yern? HAHAHAHAHAHAHA pang karmahin sana kayo

",3.0124363547656685e-05,6.175238133072935e-05,0.9999066195996954,3.1628018973897075e-05,Neutral
"

hindi naman po sa pagiging entitled, pero feel ko lang legit na concern ‘to.
sana po lagyan nyo ng aircon or ayusin pa po yung ventilation ng prostho lab. pls po parang niluluto din kami sa loob 

",5.2155371122353245e-05,6.358286015058275e-05,0.999924989649376,1.1427490473432633e-05,Neutral
"

Harap-harapan na tayong winawalanghiya ng mga tiwaling opisyal ng pamahalaan. Tahasan nang nilalapastagan ang sambayanan. Sa gitna ng lahat ng iyon, UE, at sa mga mag-aaral nito, nasaan kayo?

Nasaan ang mga inisyatiba? Nasaan ang pagkundena? Nasaan ang pagpapahayag ng pagtutol at paglaban?

Ano, mapurol na ba ang sibat ng mga mandirigma? O hindi mo na ito kaya pang tanganan pa?

",-0.9999041845676402,2.5481951524852775e-05,4.485152931010816e-05,0.999929666519165,Strong Negative
"

Lenard, sayaw ka nga dyan jumbohotdog

",0.028430759542970918,0.02849843575894404,0.9714338865319602,6.767770909574971e-05,Neutral
"

hi available pa po ba tickets for opening ng uaap bukas sa ue manila??

",0.9999172263778746,0.9999494472398928,1.832387700995551e-05,3.222888309732412e-05,Strong Positive
"

hellooo, when uaap ue men/women vball? pwede ba pumunta if hindi part ng uaap school nila? pero may ticket sila

",0.9999062907272673,0.999920581554023,6.510256044393731e-05,1.4315885533074629e-05,Strong Positive
"

Pwede po ba pumunta sa UAAP kahit taga ibang school? My friend po kasi ako na gusto din manood pero from TUP sya.

",0.9999223238000923,0.9999337914727664,5.469348357207412e-05,1.1515043661523023e-05,Strong Positive
"

what time namigay pe dept ng free uaap opening tickets?

",-0.00041646783938631415,0.00017227797070518136,0.9992389762192033,0.0005887458100914955,Neutral
"

Hi. Me again warning graduating students to never have their picture taken by LYRIC STUDIO. MAY ang toga pic, SEPTEMBER na pero marami parin walang soft copy.

Yun lang. Mwamwa

",-0.9964833045378327,0.001754305325448513,8.084811270236969e-06,0.9982376098632812,Strong Negative
"

to odc, u are my sister's long lost fling and now u are my teacher's girlfriend hnggggg we rlly live in a smol smol world. story time! my sister is overly and madly into odc for a long time now, this is even before pandemic. they met in a house party and at that party, idk if this was a theme but it used to be like this in the parties my sister went to before so bsclly if u dont know the person, u dont need to tell them ur true name. and they agreed not to tell names for fun and now my sister is suffering coz of this lmao!!! so for a long time, my sister who is falling to odc at the time, only took 2 parties for my sister to fall deeply for her but she knew odc had a rep before, a rep who flirts but never commits like wtf but still my sister's marupok to her coz she's pogi for a lesbian, sweet, and tmi!!! yummy. plot twist is i saw odc with my PE teacher in pink cafe in front of gastam gate so then i stalked my teacher's account and i confirmed it was her and now my sister can put a name to a face, she's always stalking odc now but never following her hnnnngggg and said she's gunna follow when they break up lmfao i dont want that to happen to my pe teacher but my sister smtms pick me up for one reason lmao to try and ~coincidentally~ bump into odc. okay bye! ill update here when they bump into each other coz so far sister has no luck.

",-0.9977065116690937,0.0003426283074077219,0.0016082317160908133,0.9980491399765015,Strong Negative
"

pwede bang manood bukas ng opening ceremony kahit id lang dala? kupal kase yang mga scalper yan

",-0.9998874912271276,5.302333738654852e-05,6.462098099291325e-06,0.9999405145645142,Strong Negative
"

Kupal mga nagbebenta ng tix na overpriced libre lang yan eh, kung makabenta kala mo libro.
500 isa mama mo

",-0.9997968125462648,7.026909588603303e-05,6.264926196308807e-05,0.9998670816421509,Strong Negative
"

Hi Stella Ng 2P, You Look Cuter With Your New Cut. Flowers For You My new Inspiration

pa post napo plsplsplspls thankyou matsalove

",-1.337107278231997e-05,1.9680440439591263e-05,0.9999472680468927,3.3051512667689496e-05,Neutral
"

Sabihin nyo kung may pasok ba bukas para makakilos na kaming mga palamunin

",0.9999022985066404,0.9999439716339111,1.435523881809786e-05,4.167312727076933e-05,Strong Positive
"

Hindi po ako bading pero hindi ako tinitigasan sa babae, pag nanonood ako ng porn sa lalake ako tinitigasan at nalilibugan, one time po ang cousin ko na voluptuous teased me, naghubad in front of me, tinigasan lang ako slight. Hindi po ako bading ah.
Tots?

-Anon

",-0.9999442634089064,2.1642734282067977e-05,1.245112252945546e-05,0.9999659061431885,Strong Negative
"

ingat po sa mga sasali sa 21!! di ako makakapunta pero i'll be supporting you from the sidess!!!

",-4.576695755531546e-05,2.2563538183807226e-05,0.9999091059686656,6.833049315064268e-05,Neutral
"

MMUE candidate na naka formal gown sa casual wear theme???

",0.9185820259153843,0.9570658206939697,0.0044503845274448395,0.038483794778585434,Strong Positive
"

Hi! For CDent, I just want to ask if true po ba na hindi na gumagamit nung three stripes sa toga? if yes po, why hindi na po? 

just asking po, don’t bash me po please. thanks!

",0.8269628211855888,0.9133971333503723,0.00016855448484420776,0.08643431216478348,Strong Positive
"

Hi sa magaganda sa EE student

",0.7996858945116401,0.8011268973350525,0.1974320998415351,0.0014410028234124184,Strong Positive
"

Hello naman po sa prof kojan na babae sa grabe kanaman po ma'am samin durog kung durog sa subject nyo natapos lang yung isang p may ibabagsak kananaman isang p

",-0.9991504235222237,0.0001765208289725706,0.0004965348198311403,0.9993269443511963,Strong Negative
"

Hirap makipag plastican kung harapan harapan Kang niloloko eh, Sampal ko kaya sayo yang blush on mo no

",-0.9999571536045551,1.0421467560085271e-05,2.2111601875397942e-05,0.9999674669305645,Strong Negative
"

allergic ba ‘tong UE sa paggawa ng aesthetically pleasing and comfortable shirts?? you got talented students and you decided to choose unwearable designs

",-0.0005090555641800165,3.415398420002573e-05,0.999422636484191,0.0005432095316089344,Neutral
"

QUESTION: bakit hindi naka head cap mga CS sa clinics? anuyon buhok nyo lang pwede mapunta sa bibig ng pasyente, buhok namin bawal?

",-0.999899420006841,4.395558062242344e-05,1.2668831914197654e-05,0.9999433755874634,Strong Negative
"

UE LIB LANG TALAGA MAY MAINGAY NA LIBRARY

",-0.9756393583920726,3.622449354293444e-05,0.02428819603177196,0.9756755794746851,Strong Negative
"

hoi bat puro 1st game yung sched ng UE sa uaap? Di na ba deserve maging main event game hahahahaha

",-0.5197212030252558,7.898313197074458e-05,0.4801208307108027,0.5198001861572266,Strong Negative
"

this was a year ago pero i want friends that watch kubzscouts !! last year may nakita ako sa lobby ng dorm ko jan sa gastambide na nanonood ng kubzscouts sa ipad nya nung nagrereview siya, babae. i WANT to be your friend and i still THINK about you hanggang ngayon!! 

i dont think you live sa dorm na yun and neither do i so PLEASE PLEASE PLEASE LETS BE FRIENDS

",-3.8023559682187624e-05,1.7153679436887614e-05,0.999927669081444,5.517723911907524e-05,Neutral
"

Hoy!! Huwag sana masyado lumaki ulo mo d porket crush ka ng kaibigan ko!! Naiinis na ako sayo kapag nakikita kita, kala mo naman ogip

",-0.9869507713538042,2.740190211625304e-05,0.012994424841963337,0.9869781732559204,Strong Negative
"

kelannn po powhiri?????

",0.9996689763502218,0.999828691245005,1.1588855101038783e-05,0.0001597198998940639,Strong Positive
"

Grabe, nangyari sa UST. Kaso hirap magreklamo kasi pumunta kami ron na sabi pwede makapasok kahit ID lang dala, LT lang. Kasi habang nakapila kami, ang dami na nagtutulakan sa Gate 4. Tapos pagkaalis namin, may napulot kaming ticket—dalawa pa (dalawa rin kami ng kasama ko). Balak naman namin ibalik, kaso wala namang naghahanap.  HAHAHAHAHAHHAA SORRY PO
Ewan ko kung swinerte lang kami kasi wala pang 20 mins, nakapasok na kami. Pero yung dalawa naming kaibigan na bumili talaga ng tixx, 4 hrs pumila tapos sinaraduhan lang ng gate

",-0.0007985849952092394,1.6893914112202795e-05,0.999167627219343,0.0008154788665447601,Neutral
"

so disappointing, uste. grabeh hinayaan lang kami mahimatay at maulanan sa labas, sabi pa ng guard puno na raw sa loob. eh ano tong mga ticket na hawak namin, laruan eh galing nga mismo toh sa mga school na pinag bigyan nyo tas di nyo papapasukin. literal na walang consideration grabeh, in the first place napaka gulo ng announcement nyo, iba iba, pabago bago kaya di namin alam kung maghihintay pa ba kami sa labas o hindi na. 4 hours, 4 hours kaming pumila para lang sa wala grabeh nakakaiyak, nasayang lang pagpunta at lahat ng effort namin hays. 
PS. big thanks sa mga isko and iska dyan na di kami iniwan sa gate, sila pa mismo nag asikaso at nag bigay ng tubig samin kasi ang dami na talagang muntik mahimatay. di na sila nakanood kaka explain sa mga guard pero ang titigas talaga hays. do better next time uste. literal na so close yet so far, shout out kay sarah g, rob deniel, earl agustin and lola amour sayang di nyo ko na meet. baka lang naman UEEEE

",-0.999906476221895,7.216252470243489e-06,7.909127316452214e-05,0.9999136924743652,Strong Negative
"

bakit ang onti ng mga Warriors kanina. Afaik, andaming binigay na tickets sa warriors 

",-0.958588472178235,3.988427772606703e-05,0.04133177838731302,0.9586283373349609,Strong Negative
"

DEAR UESC,
EARL AGUSTIN AND SOAPDISH sana sa powhiri ‍

",0.9996383848047117,0.9998142569813607,9.796304945539065e-06,0.0001759467136936879,Strong Positive
"

UE kung di nyo kaya CoJ pwede naman kung Over October nalang 

",-0.9999287180417014,2.097563810821157e-05,2.9330682082218118e-05,0.9999496936798096,Strong Negative
"

Hello po. Hanggang September 22 na lang po ba talaga deadline for ACES merch? 

",0.999668000426027,0.9998277425765991,1.2515272828750312e-05,0.0001597421505721286,Strong Positive
"

ANLALAKAS MAG DEMAND SA GRADES, TATAMAD NAMAN KUMILOS. MAMAKAAWA PA YAN SILA ‍↕️

",-0.972541032184381,0.0002229830133728683,0.027013001788873225,0.9727640151977539,Strong Negative
"

Ang hirap pala ng may secret crush ka. Sobrang secret niya to the point na pati mga tropa ko hindi alam. May sumpa kasi kapag kinukwento sa tropa atsaka binabash din nila yung taste ko sa lalaki. Hindi ko na kayang kimkimin tong kilig ko!!!

",-0.055385861236572964,2.212108062380902e-05,0.9445699026028296,0.05540797631654662,Negative
"

a message from DLSU student 

",0.9973590259523917,0.9973657274036791,0.0026275258248675114,6.746771453361184e-06,Strong Positive
"

Anyone here into powerlifting or just lifting heavy? We are planning to start an unofficial powerlifting team for UE students who train squat, bench, and deadlift. We can train together, share tips, programs, and even join competitions. NCAA will be starting their own powerlifting events sometime soon, UAAP doesn’t yet, but why not start something here at UE? The goal is to build a school powerlifting team that represents UE and to compete in inter-school events. If you’re interested leave a comment below!

",3.7496098229894415e-05,6.929795855461963e-05,0.9998989001807328,3.1801860712538876e-05,Neutral
"

sa crush ko na ce, ganto pala outfittan nyo? pass nalang pala, di ako manghihina dyan

",-0.9999539273376286,1.6747176338628535e-05,1.2626275141954123e-05,0.9999706265485194,Strong Negative
"

hello my dear ue! something I realized after the UAAP opening in UST, grabe ang effort nila, halatang pinaglalaanan ng time, effort, pera, and all bawat events. i feel like somehow sa mga events na yun, na-ggive back yung pagod and pera na binabayad ng students nila, i can say na worth it sya simula pag-welcome and pag-labas ng university. hindi lang naman din siguro sa events nag-eexcel ang UST, also sa sports and acads, top performing university talaga sya.

so, why am i telling this? if want na mahalin ng mga estudyante ang school na 'to and if they want na mas makilala pa ang university, UE also needs to step-up, matutong makinig sa mga hinaing ng estudyante, 'wag magbingi-bingihan at mag-bulag-bulagan. yung simpleng tix for UAAP opening i heard parang pinag-damot pa huhu, ayusin ang facilities, and also extra-curriculars also a big factor din hindi puro acads, nababaliw na nga sa sistema, mababaliw pa sa kaka-aral HAHAHAHA

but yeah, try to invest on something new, invite artists. parang kaya naman eh? sa mahal ba naman ng tuition namin? tama na yang pagiging kuripot niyo, it's just a simple token of appreciation for us students na nag-aaral and nagpapagod mag-aral here sa university.

",-0.02306911192863481,1.7357691831421107e-05,0.9768961726877023,0.023086469620466232,Neutral
"

hello need help natanggap ba sa clinic magpablood test for pregnancy?

",-0.9992231030482799,0.00034565734677016735,8.558225817978382e-05,0.99956876039505,Strong Negative
"

Medyo nalilito ako — nagbigay kayo ng 1k tickets for each UAAP school pero may cutoff pala? So ano pa ang silbi ng ticket kung hindi rin papapasukin yung ibang students?

I was blessed enough to attend, pero naaawa ako sa dami ng UAAP students na maayos namang sumunod sa rules, tapos yung iba pa nagbayad pa ng malaki just to witness the opening, pero hindi pinapasok. As far as I know, walang official post na may cutoff time (nalaman ko lang kasi may friends akong taga-UST). Not trying to shame UST — the event was successful despite the weather — pero sana if may cutoff time talaga, maipost na in advance para hindi na rin umasa yung ibang students. Besides, kung may cutoff man, hindi ba dapat applicable lang yun sa mga taga-UST since sila yung expected na sobrang dami? Hindi naman sa special treatment, pero mas logical na may oras lang sila hanggang kailan pwede pumasok — hindi para sa mga taga ibang school na limitado na nga yung tickets tapos ipagkakait niyo pa.

Kasi imagine, 36k daw yung pumunta pero majority ng taga-ibang schools napilitang magstay sa labas. Kung ganun din lang pala, sana sinabi niyo na lang na for UST students lang yung event, para hindi na nag-effort at gumastos yung iba. And if expected niyo na madami talaga pupunta na taga-UST, sana binawasan niyo na lang yung number of tickets allotted sa ibang schools para fair at para maiwasan yung ganitong problema.

",-0.998934173685484,1.654614789003972e-05,0.0010327340187359368,0.998950719833374,Strong Negative
"

Shoutout sa inyo, UE. Kuripot niyo pa rin. Nagcocomplain kayo na hindi na kilala ang UE, pero kahit sa simpleng pagbibigay ng tickets para dumami ang supporters ng mga athletes, mas pinili niyo pang maging kuripot kaysa bigyan ang mga estudyanteng willing maglaan ng oras para suportahan ang school.

At sa mga nakakuha ng ticket tapos binenta pa ng sobrang mahal—karma na lang sa inyo. Buti nga’t hindi kayo nakapasok. Saka niyo lang binaba ang presyo nung sarado na ang gate.

",-0.0003048194557777606,9.516581485513598e-06,0.9996761473812512,0.0003143360372632742,Neutral
